ID,Kelas,Confidence (%),Width (px),Height (px),Area (px),Relative Size (%)
1,Comedo — Si kecil awal mula jerawat.,12.9,42,41,1723,0.014
2,Comedo — Si kecil awal mula jerawat.,35.4,27,28,755,0.006
3,Atrophic Scar — Bekas jerawat yang mencekung.,5.3,35,31,1089,0.009
4,Comedo — Si kecil awal mula jerawat.,17.2,41,42,1722,0.014
5,Comedo — Si kecil awal mula jerawat.,13.8,29,28,803,0.007
6,Comedo — Si kecil awal mula jerawat.,11.3,33,31,1033,0.009
7,Comedo — Si kecil awal mula jerawat.,5.8,35,34,1185,0.01
8,Comedo — Si kecil awal mula jerawat.,5.6,19,31,596,0.005
9,Atrophic Scar — Bekas jerawat yang mencekung.,53.6,67,89,5933,0.05
10,Comedo — Si kecil awal mula jerawat.,9.6,25,26,651,0.005
11,Atrophic Scar — Bekas jerawat yang mencekung.,7.4,80,143,11427,0.096
12,Atrophic Scar — Bekas jerawat yang mencekung.,5.4,107,106,11319,0.095
13,Papule — Jerawat merah yang mulai meradang.,12.8,83,85,7057,0.059
14,Melasma — Flek atau bercak gelap.,8.3,101,92,9267,0.078
15,Melasma — Flek atau bercak gelap.,20.5,36,26,932,0.008
16,Atrophic Scar — Bekas jerawat yang mencekung.,16.9,35,51,1777,0.015
17,Melasma — Flek atau bercak gelap.,21.5,58,68,3960,0.033
18,Comedo — Si kecil awal mula jerawat.,20.9,36,36,1275,0.011
19,Comedo — Si kecil awal mula jerawat.,19.6,27,27,713,0.006
20,Melasma — Flek atau bercak gelap.,5.1,75,68,5085,0.043
